cv,mean,std,min,max,iqr,entropy,spear_energy,spear_cage,spear_trpcage_like
c_heavy_s2_r04.5_b6,0.01546413685695909,0.0038535931650091767,0.0036083753220736,0.0286005772650241,0.005109888035803999,0.8504587238798867,-0.27611716676734105,0.37572254307257846,
c_heavy_s2_r06_b6,0.06173222748719949,0.014223598428139887,0.0188061650842428,0.109957680106163,0.018667988479137504,0.8533211755293337,-0.2689073826159437,0.4289309656312665,
c_heavy_s2_r08_b3,0.16704582613015975,0.03545264291618676,0.071856290102005,0.2886752486228943,0.04772538691759115,0.8670729220495745,-0.23897592030976583,0.49149606054062656,
c_heavy_s2_r08_b6,0.1660492337206889,0.035286782159907375,0.0714589282870292,0.2874382734298706,0.04746747761964795,0.8670698310071298,-0.23955756650313367,0.4882305586188834,
c_heavy_s2_r010_b3,0.2989011179487759,0.06359549833125239,0.1317699998617172,0.5000735521316528,0.08790825307369232,0.884481236838979,-0.21537085696435035,0.5334591539287784,
c_heavy_s2_r012_b1.5,0.4338644651844729,0.0934319183406562,0.1958387047052383,0.7029645442962646,0.13405026495456696,0.9028206712078897,-0.193267910999859,0.5567434635229017,
c_heavy_s2_r012_b3,0.43526358978440743,0.09426980055443501,0.1959489732980728,0.7110735774040222,0.1348809152841568,0.9012441268950564,-0.1936300675154913,0.555900006506111,
c_heavy_s2_r06_b1.5,0.0700301696106614,0.015426505624746165,0.0257569029927253,0.1227273643016815,0.0203487537801266,0.8579939227950175,-0.26095348317449,0.45665872244630074,
c_heavy_s2_r06_b3,0.06339131269418698,0.014397705566415286,0.0206588432192802,0.1123178899288177,0.018988797441124902,0.8554826227112725,-0.2666684698745891,0.4360897028608819,
c_heavy_s2_r08_b1.5,0.1709276868429749,0.03616162110025677,0.0739330649375915,0.2934229671955108,0.048839882016181946,0.869251128110374,-0.23667686923807568,0.5020578804553572,
c_heavy_s2_r010_b1.5,0.2995518595058576,0.06362793680839357,0.1329450458288192,0.5001257658004761,0.08831028640270228,0.8854612778245741,-0.2135973359731736,0.5373844738312888,
