cv,family,mean,std,skew,exkurt,min,p05,median,p95,max,IQR,span_p05_95,span_p01_99,entropy,eff_states,BC,nw_k1200,nw_k250
cresb_bb_s4_r010_b6,contact resbal,0.47472963900342924,0.2448754533971059,-0.05148314058152169,-1.010948655757119,0.0015372396225021,0.07938220692532398,0.48176132497333346,0.8594787253554733,0.9864286961300032,0.39345462899655115,0.7800965184301494,0.9060438502154179,0.9802094128490418,18.848719356017703,0.5029276813124718,27,12
c_bb_s4_r010_b6,contact,0.4747296407930482,0.24487545573734604,-0.05148312534134874,-1.0109486476410858,0.0015372396446764,0.07938221283257008,0.48176130652427673,0.8594787448644637,0.9864287376403807,0.39345466345548635,0.7800965320318937,0.9060439076274633,0.9802094128490418,18.848719356017703,0.5029276784779396,27,12
c_bb_s4_r010_b3,contact,0.47390290529107876,0.24117352808355666,-0.06114283385790701,-1.0063407130504916,0.0040391511283814,0.08438537865877149,0.4813603013753891,0.8528959929943084,0.9804221391677856,0.3851799741387367,0.7685106143355369,0.8945262868702412,0.9787155150762519,18.764553821548358,0.5023123736885317,26,12
cresb_bb_s4_r010_b3,contact resbal,0.4739029049854442,0.24117352717545656,-0.061142843289633805,-1.0063407103973379,0.004039151416648,0.08438537907121431,0.48136027556444916,0.8528959629702426,0.9804221913218498,0.3851799628519942,0.7685105838990283,0.8945263066639504,0.9787155150762519,18.764553821548358,0.502312373598779,26,12
cresb_ca_s4_r010_b6,contact resbal,0.44866464876569584,0.2470715468734333,0.015722048828984495,-0.9458757367025918,4.257474626813616e-09,0.04881662790264398,0.4538978785276413,0.8546343274769329,0.9955127920423236,0.39630537941342314,0.805817699574289,0.9332122158010797,0.9769423134094444,18.66514008722314,0.48586337173387795,27,12
c_ca_s4_r010_b6,contact,0.44866464796145245,0.24707154718954724,0.015722061540061325,-0.9458757215900406,4.257474817137563e-09,0.04881662894040342,0.45389787852764124,0.8546343386173249,0.9955127239227296,0.3963054046034813,0.8058177096769215,0.9332121847783122,0.9769423134094444,18.66514008722314,0.48586336836138816,27,12
c_ca_s4_r010_b3,contact,0.44840142734764354,0.24211701973719243,-0.001374237233260615,-0.9459442828860274,1.681986395851709e-05,0.05443489737808701,0.4517057538032532,0.8431209832429886,0.9849475026130676,0.3781056180596352,0.7886860858649015,0.9211615566862746,0.9759105486420168,18.60753724139931,0.48576039547932487,27,12
cresb_ca_s4_r010_b3,contact resbal,0.4484014266076686,0.24211701906322364,-0.0013742416295811338,-0.9459443105699377,1.681986309233166e-05,0.054434901121116784,0.4517057488361994,0.8431209499637285,0.9849474969364348,0.37810561805963516,0.7886860488426117,0.9211615548815046,0.9759105486420168,18.60753724139931,0.48576040201756515,27,12
c_bb_s4_r010_b1.5,contact,0.4711895126575216,0.22886940771263842,-0.09729673870664726,-0.9861385641123732,0.0118653839454054,0.09784402474761007,0.48002082109451294,0.8235113173723221,0.9528986811637878,0.363682359457016,0.725667292624712,0.8538005923107266,0.9752767821011291,18.572242582187027,0.5001227692525847,25,11
cresb_bb_s4_r010_b1.5,contact resbal,0.4711895124630177,0.2288694074814525,-0.09729674933380912,-0.9861385810732561,0.0118653839897541,0.09784402725331125,0.4800208238441319,0.823511312520575,0.952898632735014,0.363682350188139,0.7256672852672638,0.8538006072047921,0.9752767821011291,18.572242582187027,0.5001227744796474,25,11
cresb_ca_s4_r010_b1.5,contact resbal,0.44766563441057783,0.22844937873974444,-0.055048026056631595,-0.9383449683640657,0.0021021962165832,0.07157995381525581,0.45222222946939017,0.8093146940781957,0.9489675476437524,0.35862611376103903,0.7377347402629398,0.8716890529223851,0.9727874491189519,18.434257544363962,0.48543949753238896,26,11
c_ca_s4_r010_b1.5,contact,0.4476656351499685,0.22844937953118935,-0.055048035685796755,-0.9383450003509606,0.0021021962165832,0.07157995253801343,0.45222218334674835,0.8093146562576293,0.9489676356315612,0.35862610489130026,0.7377347037196159,0.8716891016159206,0.9727874491189519,18.434257544363962,0.4854395055604523,26,11
crat_ca_s4_n8m14_r010,contact rational,0.5125467568825042,0.19403128248684742,-0.2846572433769681,-0.7866123625899637,0.0631214454770088,0.1678069621324539,0.5275459885597229,0.8001720905303954,0.8969306945800781,0.2926506027579308,0.6323651283979415,0.7676819606870413,0.9645827903120184,17.986685602698095,0.4873973567708467,22,10
crat_ca_s4_n6m12_r010,contact rational,0.4681257218103572,0.18098672103652433,-0.21783118642799817,-0.8067608936128137,0.059216134250164,0.15298932418227196,0.48051856458187103,0.7392403662204742,0.8458954095840454,0.2734396681189537,0.5862510420382022,0.722420327886939,0.9631107419974752,17.90754142550166,0.4765870858485901,21,9
c_bb_s3_r010_b3,contact,0.5758699347071237,0.19756305270935828,-0.16734743863136287,-0.8908208153004114,0.117403469979763,0.24766214340925213,0.5870645344257355,0.8800145983695984,0.9765595197677612,0.31140450388193136,0.6323524549603463,0.7640195345878601,0.9623006957492636,17.864138206829608,0.48634063255018056,22,10
c_bb_s2_r010_b6,contact,0.6716555356222966,0.15613129060224482,-0.1587239407902211,-0.8965032385844416,0.3080777525901794,0.41348405927419657,0.6806797683238983,0.9120660901069642,0.988947868347168,0.24761854112148285,0.4985820308327676,0.6008855864405632,0.9620323787207905,17.849784675180437,0.4863177289309073,17,8
crat_bb_s4_n8m14_r010,contact rational,0.5295039862545614,0.194897342463156,-0.3062210986211434,-0.810304747849393,0.073297306895256,0.18460134342312806,0.5478379428386688,0.8126178830862045,0.9124247431755066,0.298494465649128,0.6280165396630765,0.7574581165611743,0.9610392426441644,17.79675745654027,0.49846673480009124,22,10
crat_bb_s4_n6m12_r010,contact rational,0.4848577360400391,0.18257010976300792,-0.2404654214363799,-0.8287493179391436,0.067728579044342,0.1674946337938308,0.4980649799108505,0.7547634720802308,0.8601194024085999,0.28086619079113007,0.5872688382864,0.7134423843026162,0.9610263321196546,17.796069154007082,0.4861708407386325,21,9
