seed,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_000_basin_000_candidate_2765_gencluster_851_conf_166340_implicit_min,20.07672119140625,74.51789855957031,363.1156005859375,-330.6060371398926,-1699.675995349884,-1572.5707325935364
survivor_001_basin_001_candidate_1629_gencluster_1629_conf_005682_implicit_min,17.36787986755371,66.6588363647461,364.1479797363281,-447.5124683380127,-1569.192048072815,-1568.5304770618677
survivor_002_basin_002_nma_bh_candidate_2492_gencluster_473_conf_171315_implicit_min_hop_002_mode02_m1.35A_implicit_min,17.821523666381836,76.50347137451172,377.4700927734375,-655.928304195404,-1467.6893572807312,-1651.822772204876
survivor_003_basin_003_nma_bh_candidate_323_gencluster_323_conf_140845_implicit_min_hop_002_mode02_m0.75A_implicit_min,18.177433013916016,77.11674499511719,384.13214111328125,-727.161548614502,-1360.702293395996,-1608.4377309083939
survivor_004_basin_004_nma_bh_candidate_2863_gencluster_967_conf_115824_implicit_min_hop_000_mode02_p0.75A_implicit_min,17.77643394470215,65.03678894042969,351.11492919921875,-394.16164207458496,-1628.3730382919312,-1588.606936454773
survivor_005_basin_005_explore_r02_hit_0010_conf_049019_implicit_min,18.740894317626953,90.32008361816406,376.73309326171875,-529.8976607322693,-1574.0798835754395,-1618.1833696365356
survivor_006_basin_006_nma_bh_candidate_2683_gencluster_750_conf_033714_implicit_min_hop_002_mode02_m1.35A_implicit_min,20.062360763549805,76.42033386230469,367.9125671386719,-449.95834398269653,-1585.222526550293,-1570.7858010828495
survivor_007_basin_007_nma_bh_candidate_484_gencluster_484_conf_150688_implicit_min_hop_002_mode01_p1.35A_implicit_min,20.79552459716797,91.10782623291016,360.1826171875,-478.40991497039795,-1594.0002937316895,-1600.3236856460571
survivor_008_basin_008_nma_bh_candidate_1187_gencluster_1187_conf_135333_implicit_min_hop_002_mode01_m0.75A_implicit_min,18.159482955932617,75.11904907226562,361.53857421875,-355.2287473678589,-1647.9231991767883,-1548.3336129784584
survivor_009_basin_009_candidate_2692_gencluster_762_conf_086462_implicit_min,19.016284942626953,68.2372817993164,354.9216613769531,-354.64716958999634,-1672.3239274024963,-1584.7950911968946
survivor_010_basin_010_candidate_1138_gencluster_1138_conf_004095_implicit_min,20.880033493041992,116.2471923828125,368.6080322265625,-440.54728984832764,-1594.5786485671997,-1529.390645056963
survivor_011_basin_011_nma_bh_candidate_896_gencluster_896_conf_007510_implicit_min_hop_002_mode02_m0.75A_implicit_min,18.845048904418945,69.39730834960938,374.34307861328125,-685.2054233551025,-1395.831886291504,-1618.451226234436
survivor_012_basin_012_candidate_1190_gencluster_1190_conf_082473_implicit_min,18.177776336669922,66.13653564453125,348.7145690917969,-630.3745336532593,-1406.6837921142578,-1604.0288432240486
survivor_013_basin_013_candidate_1379_gencluster_1379_conf_043815_implicit_min,19.481624603271484,78.30618286132812,354.3591613769531,-377.8028554916382,-1683.94047164917,-1609.5959923267365
survivor_014_basin_014_explore_r05_hit_0049_conf_001590_implicit_min,18.16299057006836,67.3485107421875,380.0473327636719,-940.8219661712646,-1180.0851783752441,-1655.348891735077
survivor_015_basin_015_nma_bh_candidate_2397_gencluster_351_conf_182360_implicit_min_hop_003_mode02_m1.35A_implicit_min,20.00074577331543,90.75419616699219,366.0230712890625,-283.1747360229492,-1798.6209297180176,-1605.0175371170044
survivor_016_basin_016_candidate_1079_gencluster_1079_conf_006890_implicit_min,17.79203987121582,67.69783782958984,380.71746826171875,-480.9483299255371,-1576.5137481689453,-1591.2553808391094
survivor_017_basin_017_nma_bh_candidate_2492_gencluster_473_conf_171315_implicit_min_hop_000_mode01_p1.35A_implicit_min,21.520713806152344,89.6949462890625,369.57293701171875,-463.9443416595459,-1623.6525163650513,-1606.808851659298
survivor_018_basin_018_candidate_1176_gencluster_1176_conf_003581_implicit_min,16.255496978759766,59.6033935546875,364.9289245605469,-567.0594844818115,-1471.7890491485596,-1598.0612683296204
survivor_019_basin_019_nma_bh_candidate_2863_gencluster_967_conf_115824_implicit_min_hop_001_mode02_p1.35A_implicit_min,18.248106002807617,70.08641815185547,357.3106994628906,-458.6841011047363,-1583.8317861557007,-1596.8709911108017
survivor_020_basin_020_candidate_2176_gencluster_077_conf_037512_implicit_min,17.51898956298828,63.227725982666016,353.7776794433594,-437.87489891052246,-1589.0117921829224,-1592.36296620965
survivor_021_basin_021_nma_bh_candidate_1822_gencluster_1822_conf_005041_implicit_min_hop_000_mode02_m0.75A_implicit_min,15.730510711669922,59.99156188964844,351.939697265625,-414.09024477005005,-1608.458996772766,-1594.8875048160553
survivor_022_basin_022_candidate_2132_gencluster_024_conf_197987_implicit_min,19.84220314025879,86.35736846923828,334.2997741699219,-365.4984607696533,-1668.4863834381104,-1593.4856410324574
survivor_023_basin_023_nma_bh_candidate_2537_gencluster_535_conf_063339_implicit_min_hop_000_mode01_m1.35A_implicit_min,18.735210418701172,70.8647689819336,363.6263427734375,-396.73619079589844,-1688.455307006836,-1631.9657824635506
survivor_024_basin_024_nma_bh_candidate_2149_gencluster_045_conf_000812_implicit_min_hop_000_mode01_p0.75A_implicit_min,17.81099510192871,73.41436004638672,375.80218505859375,-471.9536552429199,-1577.804162979126,-1582.7300205230713
survivor_025_basin_026_nma_bh_candidate_109_gencluster_109_conf_041191_implicit_min_hop_001_mode02_m0.75A_implicit_min,19.707355499267578,83.30668640136719,390.5442199707031,-338.44189643859863,-1735.6309881210327,-1580.514216184616
survivor_026_basin_027_nma_bh_candidate_703_gencluster_703_conf_042424_implicit_min_hop_003_mode02_m0.75A_implicit_min,17.749757766723633,80.21207427978516,369.5078125,-559.0861682891846,-1495.0653676986694,-1586.6815239191055
survivor_027_basin_028_candidate_1674_gencluster_1674_conf_194930_implicit_min,16.1648006439209,54.927825927734375,376.94671630859375,-542.8922147750854,-1498.1880702972412,-1593.0408728122711
survivor_028_basin_029_explore_r01_hit_0042_conf_007863_implicit_min,17.953601837158203,67.2598876953125,379.3043212890625,-328.74850940704346,-1715.5383214950562,-1579.7694698870182
