,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_000_basin_000_nma_bh_candidate_9226_gencluster_4331_conf_794910_implicit_min_hop_003_mode01_p1.35A_implicit_min,17.653888702392578,64.53189849853516,346.5643310546875,-433.3981819152832,-1597.1201028823853,-1601.767795741558
survivor_001_basin_001_candidate_3196_gencluster_3196_conf_165074_implicit_min,18.04227066040039,55.47698974609375,369.4844055175781,-460.496976852417,-1585.7243175506592,-1603.217756152153
survivor_002_basin_002_candidate_5477_gencluster_5477_conf_137298_implicit_min,18.782968521118164,66.61625671386719,376.7691345214844,-457.8246192932129,-1595.8037948608398,-1591.4603907465935
survivor_003_basin_003_nma_bh_candidate_7127_gencluster_1967_conf_711508_implicit_min_hop_001_mode01_m0.75A_implicit_min,20.16665267944336,79.33979034423828,357.48687744140625,-480.4640655517578,-1571.8319463729858,-1595.3032324314117
survivor_004_basin_004_candidate_5502_gencluster_5502_conf_015787_implicit_min,15.025697708129883,53.368865966796875,362.80377197265625,-426.59010076522827,-1593.8267307281494,-1589.2178444862366
survivor_005_basin_005_candidate_8385_gencluster_3438_conf_743749_implicit_min,17.31961441040039,65.04656982421875,391.96282958984375,-612.1683840751648,-1444.073757648468,-1581.912758141756
survivor_006_basin_006_candidate_11908_gencluster_2313_conf_597211_implicit_min,13.762872695922852,55.55586242675781,387.57354736328125,-377.120192527771,-1646.115770816803,-1566.3429807126522
survivor_007_basin_007_candidate_9485_gencluster_4606_conf_366396_implicit_min,17.16934585571289,62.221187591552734,364.23040771484375,-440.21298265457153,-1597.1514678001404,-1593.7435625195503
survivor_008_basin_008_nma_bh_candidate_1171_gencluster_1171_conf_472155_implicit_min_hop_001_mode02_m0.75A_implicit_min,20.789260864257812,98.48623657226562,361.843505859375,-459.6423406600952,-1569.476887702942,-1547.999581336975
survivor_009_basin_009_nma_bh_candidate_838_gencluster_838_conf_454591_implicit_min_hop_003_mode02_p1.35A_implicit_min,17.653400421142578,76.7328109741211,386.35003662109375,-741.9524297714233,-1325.143406867981,-1586.3594093322754
survivor_010_basin_010_nma_bh_candidate_3936_gencluster_3936_conf_637776_implicit_min_hop_002_mode02_p1.35A_implicit_min,20.21845054626465,92.29063415527344,359.4588928222656,-566.5143976211548,-1513.120319366455,-1607.6665439605713
survivor_011_basin_011_candidate_4881_gencluster_4881_conf_156739_implicit_min,15.071706771850586,55.856781005859375,365.02239990234375,-440.73110246658325,-1587.7958664894104,-1592.5766374021769
survivor_012_basin_012_candidate_9084_gencluster_4179_conf_543209_implicit_min,19.02090835571289,71.27276611328125,355.53118896484375,-359.88442516326904,-1684.4347009658813,-1598.495313718915
survivor_013_basin_013_nma_bh_candidate_056_gencluster_056_conf_232656_implicit_min_hop_001_mode01_m0.75A_implicit_min,18.68089485168457,79.7872543334961,374.19635009765625,-693.7739877700806,-1371.0297236442566,-1592.1389119625092
survivor_014_basin_014_nma_bh_candidate_10913_gencluster_686_conf_076741_implicit_min_hop_000_mode01_m1.35A_implicit_min,18.930116653442383,77.6649398803711,361.6741943359375,-570.4043397903442,-1541.9592599868774,-1654.0947803258896
survivor_015_basin_015_candidate_11053_gencluster_870_conf_124850_implicit_min,16.331205368041992,57.12098693847656,366.91546630859375,-375.10106086730957,-1640.5000910758972,-1575.2338266521692
survivor_016_basin_016_nma_bh_candidate_1171_gencluster_1171_conf_472155_implicit_min_hop_002_mode02_p0.75A_implicit_min,21.365219116210938,92.49655151367188,370.7727966308594,-388.2714385986328,-1660.1912050247192,-1563.827819019556
survivor_017_basin_017_candidate_11664_gencluster_1931_conf_509222_implicit_min,18.128097534179688,65.8638916015625,382.7366027832031,-493.69480323791504,-1585.3935947418213,-1612.3592430353165
