variant,metric,checkpoint_index,checkpoint_step,frac_total,bin,x,F_kcal_mol,P,count
current,cv_distance,1,1010500,4.1885401541382775e-05,0,0.037104567109296716,,0.0,0
current,cv_distance,1,1010500,4.1885401541382775e-05,1,0.06925855269655586,,0.0,0
current,cv_distance,1,1010500,4.1885401541382775e-05,2,0.101412538283815,7.186546866074563,2.184440371385272e-06,3
current,cv_distance,1,1010500,4.1885401541382775e-05,3,0.13356652387107412,4.371583447540903,0.00024547004752309637,19
current,cv_distance,1,1010500,4.1885401541382775e-05,4,0.16572050945833325,5.57584175130045,3.256225930416801e-05,10
current,cv_distance,1,1010500,4.1885401541382775e-05,5,0.1978744950455924,6.718998510897563,4.78566292075219e-06,11
current,cv_distance,1,1010500,4.1885401541382775e-05,6,0.23002848063285153,3.6420519114388887,0.0008345477805872341,13
current,cv_distance,1,1010500,4.1885401541382775e-05,7,0.26218246622011065,2.8956583639240643,0.002918687692787878,10
current,cv_distance,1,1010500,4.1885401541382775e-05,8,0.2943364518073698,3.0142825664207273,0.002392057901661704,14
current,cv_distance,1,1010500,4.1885401541382775e-05,9,0.3264904373946289,2.5701100718006518,0.005039003246441917,10
current,cv_distance,1,1010500,4.1885401541382775e-05,10,0.35864442298188803,1.8396006510291412,0.01715970084132036,15
current,cv_distance,1,1010500,4.1885401541382775e-05,11,0.39079840856914716,1.7167073687599483,0.02108801060045627,16
current,cv_distance,1,1010500,4.1885401541382775e-05,12,0.42295239415640634,2.158171776987025,0.010056236095810599,9
current,cv_distance,1,1010500,4.1885401541382775e-05,13,0.45510637974366547,2.4890704736680727,0.005772723559431973,10
current,cv_distance,1,1010500,4.1885401541382775e-05,14,0.4872603653309246,1.2523479451382489,0.04595305978819851,12
current,cv_distance,1,1010500,4.1885401541382775e-05,15,0.5194143509181837,3.9032449320036426,0.0005384880103624645,3
current,cv_distance,1,1010500,4.1885401541382775e-05,16,0.5515683365054429,5.491032456958582,3.7540220546930514e-05,2
current,cv_distance,1,1010500,4.1885401541382775e-05,17,0.5837223220927019,4.158716017238914,0.0003508077772717416,3
current,cv_distance,1,1010500,4.1885401541382775e-05,18,0.6158763076799612,0.4519944656372622,0.1759380805467406,4
current,cv_distance,1,1010500,4.1885401541382775e-05,19,0.6480302932672202,1.9879015550401196,0.013380574013493352,6
current,cv_distance,1,1010500,4.1885401541382775e-05,20,0.6801842788544794,0.0,0.37551819742021,2
current,cv_distance,1,1010500,4.1885401541382775e-05,21,0.7123382644417384,4.778465772812585,0.00012404831838097596,1
current,cv_distance,1,1010500,4.1885401541382775e-05,22,0.7444922500289977,2.6010467242498483,0.004784182678620796,2
current,cv_distance,1,1010500,4.1885401541382775e-05,23,0.7766462356162568,2.3240504108188635,0.00761369338055784,2
current,cv_distance,1,1010500,4.1885401541382775e-05,24,0.8088002212035159,1.7972187259500916,0.018424016086434514,5
current,cv_distance,1,1010500,4.1885401541382775e-05,25,0.8409542067907751,3.1931340582292744,0.0017720708384413308,1
current,cv_distance,1,1010500,4.1885401541382775e-05,26,0.8731081923780342,0.20887194135089715,0.264527565231079,6
current,cv_distance,1,1010500,4.1885401541382775e-05,27,0.9052621779652934,1.7437248037479542,0.020153654920165964,2
current,cv_distance,1,1010500,4.1885401541382775e-05,28,0.9374161635525524,2.535740036457121,0.0053380506408786665,1
current,cv_distance,1,1010500,4.1885401541382775e-05,29,0.9695701491398117,,0.0,0
current,cv_distance,2,1944500,0.2738746788785882,0,0.037104567109296716,1.696537956881635,0.0030094524185669187,349
current,cv_distance,2,1944500,0.2738746788785882,1,0.06925855269655586,0.5702111398830341,0.0199067126283674,6840
current,cv_distance,2,1944500,0.2738746788785882,2,0.101412538283815,0.29587142514900844,0.031539287904873606,28891
current,cv_distance,2,1944500,0.2738746788785882,3,0.13356652387107412,0.2936392276618922,0.03165760133602818,49175
current,cv_distance,2,1944500,0.2738746788785882,4,0.16572050945833325,0.27568663613226807,0.03262542647097336,55419
current,cv_distance,2,1944500,0.2738746788785882,5,0.1978744950455924,0.20055975078959887,0.037007095262669834,55348
