variant,metric,selected_method,checkpoint_index,checkpoint_step,n_samples,n_samples_total,frac_total,JS,RMSE_F_kcal_mol,barrier_error_kcal_mol,delta_JS,delta_RMSE_F_kcal_mol,occupied_bins,occupied_bins_ref,occupied_bins_frac_ref,new_bins_discovered,mbar_converged,mbar_iterations,mbar_max_delta,mbar_backend,mbar_requested_backend,sambar_warmstart_epochs,sambar_polish_backend,mbar_cache_hit
current,cv_distance,umbrella_only,1,1010500,192,4583936,4.1885401541382775e-05,0.3482924461831073,3.3261102920960286,6.039782216071286,nan,nan,27,30,0.9,27,1,36,7.395766916662438e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,2,1944500,1255424,4583936,0.2738746788785882,0.002692914296918845,0.1209215955495631,0.3287674897792332,0.3499381078730579,3.289041385953071,30,30,1.0,3,1,47,8.420483962323644e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,3,2878250,2223920,4583936,0.4851551156037083,0.0010312857870052059,0.07011317930867375,0.13427738007932,0.0014362681332722458,0.1045373826770723,30,30,1.0,0,1,36,6.687252351866846e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,4,3812250,2983632,4583936,0.650888668602703,0.000680370192614739,0.09440818994572368,0.3408754570914114,0.00020460500066114742,0.049497975336031154,30,30,1.0,0,1,29,4.6214015014811594e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,5,4746250,3554384,4583936,0.7754000055847202,0.00032013536222900605,0.074713897038595,0.31000828387630364,0.00011617613307635703,0.028754107700423095,30,30,1.0,0,1,21,8.229267943749008e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,6,5680250,3940912,4583936,0.8597222997877806,0.0001333887634864413,0.034949595466630345,0.07838039209192793,5.584832809531666e-05,0.04619119982698291,30,30,1.0,0,1,29,7.044755955254445e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,7,6614500,4141888,4583936,0.9035658438512231,0.0001118374235569291,0.03451432669208329,0.0352513724889878,6.790238022199435e-05,0.03551700611229616,30,30,1.0,0,1,20,3.688141951840862e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,8,7548500,4321216,4583936,0.9426868088908745,0.00014713498528944356,0.039067155186807416,0.02328130376107662,2.102948381432525e-05,0.009641838777166026,30,30,1.0,0,1,25,8.20583429206323e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,9,8482750,4464384,4583936,0.9739193566402323,0.00019622592620366852,0.03731024364237899,0.022746379106859393,3.867721681892195e-05,0.016125769282328124,30,30,1.0,0,1,23,8.046008677098371e-07,numba-anderson,sambar,10,numba-anderson,0
current,cv_distance,umbrella_only,10,9416750,4583936,4583936,1.0,0.0002769913885995834,0.03991711287063131,0.06430029963270822,2.366908858232898e-05,0.013660186176546997,30,30,1.0,0,1,27,7.143282558796926e-07,numba-anderson,sambar,10,numba-anderson,0
