# overlap space: CV1 marginal (30 primary bins); pairwise histogram-intersection overlap of the primary CV only. This CANNOT see a secondary-CV gap: for the joint (CV1, CV2) overlap see overlap_matrix_joint.csv (written only when this run has a biased second axis). docs/chignolin_6_low_ess_root_cause.md
window,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.0,0.9161236820281957,0.9045136832128895,0.9065276625992181,0.5479208624570548,0.5287288235990997,0.5515934131027129,0.5371401492714134,0.23729415945977966,0.22461793626347587,0.21537732496149747,0.2244994668878095,0.06717213600284327,0.06551356474351382,0.0581684634521976,0.06053785096552541,0.008648264423646487,0.008411325672313705,0.008292856296647316,0.008055917545314536,0.00023693875133278048,0.0003554081269991707,0.00023693875133278048,0.00011846937566639024,0.0,0.0,0.0,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9161236820281957,1.0,0.9747660229830589,0.9719227579670655,0.6007582040042649,0.5815661651463097,0.604430754649923,0.5899774908186234,0.25056272953441533,0.2378865063381116,0.22864589503613314,0.2377680369624452,0.08044070607747897,0.07771591043715201,0.06338111598151877,0.06575050349484658,0.013860916952967657,0.013623978201634876,0.013505508825968486,0.013268570074635706,0.0015401018836630732,0.0016585712593294632,0.0015401018836630732,0.0014216325079966828,0.0,0.0,0.0,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9045136832128895,0.9747660229830589,1.0,0.9790309205070489,0.5973225921099395,0.5781305532519843,0.6009951427555976,0.586541878924298,0.255301504561071,0.2426252813647672,0.2333846700627888,0.24250681198910082,0.08281009359080678,0.07653121668048811,0.06219642222485487,0.06456580973818268,0.012676223196303755,0.012439284444970973,0.012320815069304583,0.012083876317971804,0.0009477550053311218,0.0010662243809975121,0.0009477550053311218,0.0008292856296647316,0.0,0.0,0.0,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9065276625992181,0.9719227579670655,0.9790309205070489,1.0,0.6037199383959246,0.5845278995379695,0.6073924890415827,0.5929392252102832,0.2554199739367374,0.24274375074043358,0.23350313943845513,0.24262528136476721,0.08529795047980097,0.07901907356948229,0.06468427911384907,0.06705366662717688,0.01516408008529795,0.014927141333965168,0.014808671958298778,0.014571733206965998,0.0015401018836630732,0.0016585712593294632,0.0015401018836630732,0.0014216325079966828,0.00011846937566639024,0.00011846937566639024,0.00011846937566639024,0.00023693875133278048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5479208624570548,0.6007582040042649,0.5973225921099395,0.6037199383959246,1.0,0.973581329226395,0.9572325553844331,0.9771354104963867,0.5332306598744224,0.5205544366781186,0.5113138253761402,0.5204359673024523,0.17971804288591398,0.17343916597559533,0.1591043715199621,0.16147375903328992,0.04134581210757019,0.04134581210757019,0.03826560834024405,0.03589622082691624,0.007108162539983413,0.005923468783319512,0.004857244402322,0.0055680606563203415,0.00047387750266556097,0.0008292856296647316,0.0009477550053311219,0.0009477550053311218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5287288235990997,0.5815661651463097,0.5781305532519843,0.5845278995379695,0.973581329226395,1.0,0.9742921454803933,0.9885084705603602,0.5501717805947163,0.5374955573984125,0.5282549460964341,0.5373770880227461,0.19571140860087666,0.18943253169055801,0.17509773723492478,0.1774671247482526,0.043952138372230776,0.043952138372230776,0.04087193460490463,0.03850254709157683,0.007937448169648146,0.006752754412984244,0.005686530031986731,0.006397346285985073,0.0007108162539983414,0.0010662243809975121,0.0011846937566639024,0.0011846937566639024,0.0,0.0,0.00011846937566639024,0.00023693875133278048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5515934131027129,0.604430754649923,0.6009951427555976,0.6073924890415827,0.9572325553844331,0.9742921454803933,1.0,0.9716858192157327,0.5262409667101055,0.5135647435138017,0.5043241322118233,0.5134462741381353,0.19180191920388578,0.18552304229356711,0.17118824783793388,0.1735576353512617,0.040634995853571845,0.040634995853571845,0.0375547920862457,0.0351854045729179,0.007937448169648146,0.006752754412984244,0.005686530031986731,0.006397346285985073,0.0005923468783319512,0.0009477550053311218,0.0010662243809975121,0.0010662243809975121,0.0,0.0,0.00011846937566639024,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5371401492714134,0.5899774908186234,0.586541878924298,0.5929392252102832,0.9771354104963867,0.9885084705603602,0.9716858192157327,1.0,0.548868617462386,0.5361923942660822,0.5269517829641037,0.5360739248904158,0.19452671484421277,0.1882478379338941,0.17391304347826086,0.1762824309915887,0.04371519962089799,0.04371519962089799,0.040634995853571845,0.03826560834024404,0.008055917545314536,0.006871223788650634,0.005804999407653121,0.006515815661651463,0.0005923468783319512,0.0009477550053311218,0.0010662243809975121,0.0010662243809975121,0.0,0.0,0.00011846937566639024,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.23729415945977966,0.25056272953441533,0.255301504561071,0.2554199739367374,0.5332306598744224,0.5501717805947163,0.5262409667101055,0.548868617462386,1.0,0.9597204122734273,0.949650515341784,0.9476365359554555,0.473285155787229,0.44698495438929037,0.4386920980926431,0.4313469968013269,0.17189906409193223,0.1724914109702642,0.16562018718161356,0.15341784148797535,0.048217035896220825,0.047032342139556926,0.045136832128894674,0.04229356711290132,0.00521265252932117,0.005568060656320341,0.0056865300319867305,0.0056865300319867305,0.00011846937566639024,0.00011846937566639024,0.00023693875133278048,0.00047387750266556097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.22461793626347587,0.2378865063381116,0.2426252813647672,0.24274375074043358,0.5205544366781186,0.5374955573984125,0.5135647435138017,0.5361923942660822,0.9597204122734273,1.0,0.985428266793034,0.9856652055443667,0.5113138253761402,0.48501362397820164,0.4767207676815543,0.46937566639023814,0.1793626347589148,0.17995498163724677,0.17308375784859614,0.16088141215495794,0.0521265252932117,0.047624689017888876,0.045729179007226624,0.04288591399123327,0.005804999407653122,0.006160407534652293,0.0062788769103186825,0.0062788769103186825,0.00047387750266556097,0.00047387750266556097,0.0005923468783319512,0.0008292856296647317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
