method,bin,cv_A,probability,pmf_kcal_mol,counts
umbrella_only,0,0.037104567109296716,0.0012732402562298014,2.241732893003496,112
umbrella_only,1,0.06925855269655586,0.01178440398539671,0.9151477076710988,2530
umbrella_only,2,0.101412538283815,0.021257338622736155,0.5634571338804628,11965
umbrella_only,3,0.13356652387107412,0.029567983916737157,0.3667298924800253,21726
umbrella_only,4,0.16572050945833325,0.032516141485989684,0.3100680564602665,22438
umbrella_only,5,0.1978744950455924,0.03520170885692799,0.2627578889884399,21679
umbrella_only,6,0.23002848063285153,0.036629623838792175,0.23905291945786988,21782
umbrella_only,7,0.26218246622011065,0.037984470995124975,0.21740027588858912,22072
umbrella_only,8,0.2943364518073698,0.04097160301158814,0.172269794629337,21737
umbrella_only,9,0.3264904373946289,0.04442998854056979,0.123959602139037,21720
umbrella_only,10,0.35864442298188803,0.04208186475314754,0.1563298343073256,20962
umbrella_only,11,0.39079840856914716,0.0468072029647065,0.09288622078963882,21024
umbrella_only,12,0.42295239415640634,0.05205049227654005,0.029587514085503974,21033
umbrella_only,13,0.45510637974366547,0.053719374898583507,0.010772972666185376,21191
umbrella_only,14,0.4872603653309246,0.0546989384730641,0.0,21556
umbrella_only,15,0.5194143509181837,0.05178356554733502,0.032652630363996904,21656
umbrella_only,16,0.5515683365054429,0.04106394670777361,0.1709276506603905,20440
umbrella_only,17,0.5837223220927019,0.03834654445864319,0.21174449373316917,20472
umbrella_only,18,0.6158763076799612,0.04099174225699023,0.17197682858528562,21020
umbrella_only,19,0.6480302932672202,0.04254840383123018,0.1497568822185913,20508
umbrella_only,20,0.6801842788544794,0.044046754410909356,0.1291241407413295,21432
umbrella_only,21,0.7123382644417384,0.042607531373747315,0.14892899965543638,22529
umbrella_only,22,0.7444922500289977,0.038034946750894166,0.21660859143845101,21212
umbrella_only,23,0.7766462356162568,0.028516630120103654,0.3883137454652368,18802
umbrella_only,24,0.8088002212035159,0.02522556832653879,0.46142060577872224,19397
umbrella_only,25,0.8409542067907751,0.02278218036369374,0.5221571762660955,22004
umbrella_only,26,0.8731081923780342,0.02159311577832669,0.5541138754159967,22590
umbrella_only,27,0.9052621779652934,0.013575049140530657,0.8308168052215446,11630
umbrella_only,28,0.9374161635525524,0.007103929220101839,1.2168821705617159,2542
umbrella_only,29,0.9695701491398117,0.0008057148370471673,2.5145305903599042,431
