method,bin,cv_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
umbrella_only,0,0.037104567109296716,0.0012732402562298014,2.241732893003496,112,5.064032312188671,50.61599907652834
umbrella_only,1,0.06925855269655586,0.01178440398539671,0.9151477076710988,2530,2.406848039482657,34.19234615229553
umbrella_only,2,0.101412538283815,0.021257338622736155,0.5634571338804628,11965,3.3677645870355883,43.74836285807269
umbrella_only,3,0.13356652387107412,0.029567983916737157,0.3667298924800253,21726,3.724674956618795,45.57575198679952
umbrella_only,4,0.16572050945833325,0.032516141485989684,0.3100680564602665,22438,3.821276243915908,46.943866870908806
umbrella_only,5,0.1978744950455924,0.03520170885692799,0.2627578889884399,21679,3.6278599771468762,44.60282920088265
umbrella_only,6,0.23002848063285153,0.036629623838792175,0.23905291945786988,21782,3.607362422590094,43.98653485765103
umbrella_only,7,0.26218246622011065,0.037984470995124975,0.21740027588858912,22072,3.6739424420493174,43.83165039678865
umbrella_only,8,0.2943364518073698,0.04097160301158814,0.172269794629337,21737,3.754588861763762,44.19683083183941
umbrella_only,9,0.3264904373946289,0.04442998854056979,0.123959602139037,21720,3.56174871279038,42.82168913495497
umbrella_only,10,0.35864442298188803,0.04208186475314754,0.1563298343073256,20962,3.8884777303898055,45.0655542165237
umbrella_only,11,0.39079840856914716,0.0468072029647065,0.09288622078963882,21024,3.7392229469025455,43.239303178167695
umbrella_only,12,0.42295239415640634,0.05205049227654005,0.029587514085503974,21033,3.700547212488435,42.885354069822526
umbrella_only,13,0.45510637974366547,0.053719374898583507,0.010772972666185376,21191,3.779639526851213,43.32721320850893
umbrella_only,14,0.4872603653309246,0.0546989384730641,0.0,21556,3.681805174268731,42.623744929598324
umbrella_only,15,0.5194143509181837,0.05178356554733502,0.032652630363996904,21656,3.419396491097029,39.55031314160727
umbrella_only,16,0.5515683365054429,0.04106394670777361,0.1709276506603905,20440,3.680441833977988,40.320937839928085
umbrella_only,17,0.5837223220927019,0.03834654445864319,0.21174449373316917,20472,3.6624326394362883,37.861708997630025
umbrella_only,18,0.6158763076799612,0.04099174225699023,0.17197682858528562,21020,3.470340651711456,36.52226277995264
umbrella_only,19,0.6480302932672202,0.04254840383123018,0.1497568822185913,20508,3.5113620084853445,36.883319992912625
umbrella_only,20,0.6801842788544794,0.044046754410909356,0.1291241407413295,21432,3.359712691802901,35.36815141298163
umbrella_only,21,0.7123382644417384,0.042607531373747315,0.14892899965543638,22529,3.2707345781916963,33.17954784608898
umbrella_only,22,0.7444922500289977,0.038034946750894166,0.21660859143845101,21212,3.272540849404637,33.07831405815116
umbrella_only,23,0.7766462356162568,0.028516630120103654,0.3883137454652368,18802,3.288231560026212,31.607762760386123
umbrella_only,24,0.8088002212035159,0.02522556832653879,0.46142060577872224,19397,3.092712968432025,29.052705118684546
umbrella_only,25,0.8409542067907751,0.02278218036369374,0.5221571762660955,22004,3.222113510254198,28.994082324396945
umbrella_only,26,0.8731081923780342,0.02159311577832669,0.5541138754159967,22590,3.2551231795769566,28.161697538654902
umbrella_only,27,0.9052621779652934,0.013575049140530657,0.8308168052215446,11630,3.46254264337582,29.971973553389535
umbrella_only,28,0.9374161635525524,0.007103929220101839,1.2168821705617159,2542,3.5091760911321885,29.508873295543047
umbrella_only,29,0.9695701491398117,0.0008057148370471673,2.5145305903599042,431,5.9582260813470125,26.528285265832064
