window,center_A,k_kcal_mol_A2,secondary_center_window_table,secondary_k_kcal_mol_window_table,samples,cv_mean_A,cv_std_A,cv2_mean,cv2_std,self_bias_median_kT,self_bias_p90_kT,overlap_left,overlap_right,cv_space_neighbor,cv_space_overlap_marginal,cv_space_overlap_joint
0,0.105871,361.8424,,,8441,0.12561881777127268,0.03411277961188286,,,0.20631064103711505,1.3072375294252319,,0.9161236820281957,1,0.916124,
1,0.105871,361.8424,,,8441,0.13250391073758858,0.03304104608401462,,,4.693151279882212,7.213914324036917,0.9161236820281957,0.9747660229830589,0,0.916124,
2,0.105871,361.8424,,,8441,0.1331555016293368,0.03181146561757023,,,5.041802141785752,8.646538958059129,0.9747660229830589,0.9790309205070489,0,0.904514,
3,0.105871,361.8424,,,8441,0.1337864754595522,0.03164945217953628,,,4.7458117859334275,8.482641138644384,0.9790309205070489,0.6037199383959246,0,0.906528,
4,0.157446,405.5396,,,8441,0.16768342843253867,0.03758288385227242,,,0.23750484456125348,1.3961879412207339,0.6037199383959246,0.973581329226395,5,0.973581,
5,0.157446,405.5396,,,8441,0.17042379369660232,0.03672044002671052,,,4.51112235006369,7.046494463725073,0.973581329226395,0.9742921454803933,4,0.973581,
6,0.157446,405.5396,,,8441,0.16883913173074688,0.036705480035008925,,,4.941311891397914,8.501426696298768,0.9742921454803933,0.9716858192157327,4,0.957233,
7,0.157446,405.5396,,,8441,0.17015644468295604,0.03705978870537504,,,4.607962290806661,8.346658893401715,0.9716858192157327,0.548868617462386,4,0.977135,
8,0.209021,463.6135,,,8441,0.21501435753774084,0.03617716590702326,,,0.238737286188916,1.4177097119764113,0.548868617462386,0.9597204122734273,9,0.959720,
9,0.209021,463.6135,,,8441,0.2184854809972873,0.036788692610885965,,,4.456874622502459,6.91977946952844,0.9597204122734273,0.985428266793034,8,0.959720,
10,0.209021,463.6135,,,8441,0.21905221356774743,0.036636127997129425,,,4.987478998972218,8.645773819890632,0.985428266793034,0.9816372467717095,8,0.949651,
11,0.209021,463.6135,,,8441,0.2193460305121086,0.037674010586962105,,,4.706507585449983,8.381039664787219,0.9816372467717095,0.5254116810804407,8,0.947637,
12,0.260596,475.5454,,,8441,0.2669025492013567,0.03599254170298717,,,0.24400185688688233,1.4653087175259358,0.5254116810804407,0.9703826560834025,13,0.970383,
13,0.260596,475.5454,,,8441,0.26877633969007886,0.03512993345577992,,,4.378504119872112,6.8169175068248125,0.9703826560834025,0.9767800023693874,12,0.970383,
14,0.260596,475.5454,,,8441,0.26897587315679766,0.03418948608544504,,,4.838340113294369,8.375005628313678,0.9767800023693874,0.9790309205070489,12,0.962682,
15,0.260596,475.5454,,,8441,0.27054197008880077,0.03515386601092902,,,4.638191378706176,8.366347816975212,0.9790309205070489,0.5360739248904158,12,0.957825,
16,0.312171,506.4139,,,8441,0.31698698189540747,0.03429195651460805,,,0.21940301348277821,1.3843429106372078,0.5360739248904158,0.9821111242743751,17,0.982111,
17,0.312171,506.4139,,,8441,0.31694279422573307,0.034147606248245206,,,4.326444712949393,6.774737360239717,0.9821111242743751,0.973581329226395,16,0.982111,
18,0.312171,506.4139,,,8441,0.31921002927083225,0.03481233028097539,,,4.848250259063024,8.327709043598281,0.973581329226395,0.9792678592583817,16,0.969790,
19,0.312171,506.4139,,,8441,0.3202486544875734,0.03387428659980592,,,4.559273251140803,8.1836265152921,0.9792678592583817,0.4879753583698614,16,0.960431,
20,0.363746,504.5034,,,8441,0.3706207281110298,0.03607685717911378,,,0.2840732792365473,1.5381209091143302,0.4879753583698614,0.9667101054377443,21,0.966710,
21,0.363746,504.5034,,,8441,0.36971427294057263,0.03460979297401128,,,4.404152080472154,6.958387159401067,0.9667101054377443,0.9931287762113493,20,0.966710,
22,0.363746,504.5034,,,8441,0.37052468665296356,0.034415362157425175,,,4.730073261126802,8.24724361650465,0.9931287762113493,0.986020613671366,20,0.964222,
23,0.363746,504.5034,,,8441,0.3709282280868185,0.034762346223143954,,,4.528783470190584,8.153461005371746,0.986020613671366,0.4840658689728705,20,0.960431,
24,0.415321,493.6658,,,8441,0.42103488156332564,0.034394514105816794,,,0.22462108973875933,1.356138391676255,0.4840658689728705,0.9879161236820282,25,0.987916,
25,0.415321,493.6658,,,8441,0.4221404481945325,0.03424433637959133,,,4.347474560385644,6.7093797825533485,0.9879161236820282,0.9691979623267386,24,0.987916,
26,0.415321,493.6658,,,8441,0.42211364021644165,0.03605208383090747,,,4.772572753243964,8.395599226454387,0.9691979623267386,0.978438573628717,24,0.967184,
27,0.415321,493.6658,,,8441,0.42275214564911834,0.0357422505911881,,,4.520798247499195,8.137073659624784,0.978438573628717,0.5151048453974648,24,0.971686,
28,0.466896,476.8729,,,8441,0.46962494370200425,0.03427371742275188,,,0.21809567642182107,1.2577777487466817,0.5151048453974648,0.9785570430043834,29,0.978557,
29,0.466896,476.8729,,,8441,0.4720567407172772,0.035056024597244516,,,4.263118452388501,6.712956000495784,0.9785570430043834,0.9552185759981044,28,0.978557,
30,0.466896,476.8729,,,8441,0.4750229565612288,0.036010158882947015,,,4.689108817081683,8.35039648711446,0.9552185759981044,0.9811633692690439,28,0.936027,
31,0.466896,476.8729,,,8441,0.4767557841075454,0.036497557118276076,,,4.423260317864765,8.126462244497606,0.9811633692690439,0.5999728531075191,28,0.922521,
32,0.518471,517.1224,,,8440,0.514289045715219,0.03293268247602499,,,0.20221747332592732,1.2917120405490123,0.5999728531075191,0.9080568720379147,33,0.908057,
33,0.518471,517.1224,,,8440,0.5213185838013181,0.03487867460168223,,,4.14360180287951,6.543010771456263,0.9080568720379147,0.9388625592417061,32,0.908057,
34,0.518471,517.1224,,,8440,0.5268355239376921,0.03422859082146171,,,4.524391467675136,8.037416031829165,0.9388625592417061,0.9877962085308056,32,0.846919,
35,0.518471,517.1224,,,8440,0.5271786639440399,0.03416414966273535,,,4.404445996017657,7.884233166584137,0.9877962085308056,0.5875592417061611,32,0.839929,
36,0.570046,527.8416,,,8440,0.5690331163670497,0.0354775905619778,,,0.26432613596149834,1.4969970238971946,0.5875592417061611,0.9178909952606634,37,0.917891,
37,0.570046,527.8416,,,8440,0.5752951100327393,0.03475639730925999,,,3.975325462184119,6.327605396487483,0.9178909952606634,0.9746445497630333,36,0.917891,
38,0.570046,527.8416,,,8440,0.5777632609433473,0.034404695698381636,,,4.433603769230951,7.808044663701684,0.9746445497630333,0.9648104265402843,36,0.892773,
39,0.570046,527.8416,,,8440,0.5802988069952947,0.03365245972758134,,,4.1817163660167465,7.753779757395427,0.9648104265402843,0.5170616113744075,36,0.857583,
40,0.621621,504.9162,,,8440,0.6231797571819258,0.03442789756646705,,,0.22493716269775701,1.3641097903304982,0.5170616113744075,0.9498815165876777,41,0.949882,
41,0.621621,504.9162,,,8440,0.6278748442847016,0.03454076753822343,,,3.83325267796195,6.022055801648939,0.9498815165876777,0.9713270142180095,40,0.949882,
42,0.621621,504.9162,,,8440,0.6309779912763015,0.03474867058804322,,,4.444023838110557,7.793257478914922,0.9713270142180095,0.9937203791469195,40,0.921327,
43,0.621621,504.9162,,,8440,0.6313670422016727,0.035011495767584104,,,4.171853881629894,7.700404307712303,0.9937203791469195,0.5566350710900474,40,0.917536,
44,0.673197,499.8177,,,8440,0.6738478890315617,0.033594532468355115,,,0.2105319517418174,1.266295290360827,0.5566350710900474,0.9454976303317535,45,0.945498,
45,0.673197,499.8177,,,8440,0.679039520533729,0.03346737113927089,,,3.7248418975172903,5.98873336420186,0.9454976303317535,0.9216824644549765,44,0.945498,
46,0.673197,499.8177,,,8440,0.6853003677739916,0.034690606144138846,,,4.347955265122273,7.706172892248511,0.9216824644549765,0.9804502369668245,44,0.871445,
47,0.673197,499.8177,,,8440,0.6845953954622079,0.03548591244799191,,,4.062992165258432,7.577800929467612,0.9804502369668245,0.5998815165876777,44,0.879384,
48,0.724772,502.3906,,,8440,0.7210574352840111,0.03320057920467742,,,0.2034074860328003,1.2802198129448068,0.5998815165876777,0.9066350710900474,49,0.906635,
49,0.724772,502.3906,,,8440,0.7295797415960457,0.03444833449875458,,,3.4852843345678695,5.681363949171412,0.9066350710900474,0.9364928909952607,48,0.906635,
50,0.724772,502.3906,,,8440,0.7350372348280879,0.03509724996019629,,,4.192156455323227,7.347509089953397,0.9364928909952607,0.970734597156398,48,0.843483,
