# overlap space: CV1 marginal (30 primary bins); pairwise histogram-intersection overlap of the primary CV only. This CANNOT see a secondary-CV gap: for the joint (CV1, CV2) overlap see overlap_matrix_joint.csv (written only when this run has a biased second axis). docs/chignolin_6_low_ess_root_cause.md
window,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.0,0.9138461481206015,0.8229149825800609,0.8181750719474765,0.5561606252078484,0.504683262281029,0.4808445798485965,0.4654682795144002,0.22135849684070502,0.21253799201075868,0.21046908022442368,0.20562414216899597,0.052004112623790524,0.051311544178448486,0.05004474702802945,0.04963095414977532,0.007108413701363485,0.006938864093172828,0.006833288654242941,0.006428402392263156,0.000540416088642886,0.0004810214791612364,0.0004176768845666418,0.0004964333755396177,8.314279789883028e-05,6.268475855418499e-05,5.2127214661196246e-05,5.5266049445685186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9138461481206015,1.0,0.9090688344594593,0.904328923826875,0.6128477176565492,0.5613703547297297,0.5375316722972974,0.522155371963101,0.25445617742160187,0.24383445945945947,0.23975065502248044,0.22308843307846696,0.06864020358047718,0.06794763513513515,0.06668083798471611,0.06626704510646197,0.009956308309889536,0.009786758701698879,0.009681183262768992,0.009276297000789207,0.0009462189338059739,0.0008868243243243244,0.0008234797297297298,0.0009022362207027056,8.38028568603525e-05,6.33448175157072e-05,5.2787273622718465e-05,5.5926108407207405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8229149825800609,0.9090688344594593,0.9999999999999999,0.9789353523817119,0.6690977176565491,0.6176203547297296,0.5937816722972973,0.5784053719631009,0.2690993362053856,0.2584776182432432,0.2543938138062642,0.23773159186225074,0.08328336236426095,0.08259079391891891,0.08132399676849988,0.08091020389024575,0.012680125877457104,0.012510576269266447,0.01240500083033656,0.012000114568356774,0.0011573675824546226,0.001097972972972973,0.0010346283783783784,0.0011133848693513544,0.00010491772172521736,8.445968238057206e-05,7.390213848758334e-05,7.704097327207228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8181750719474765,0.904328923826875,0.9789353523817119,1.0,0.6634122722818638,0.6119349093550446,0.5880962269226121,0.5727199265884158,0.2737355418586458,0.2631138238965034,0.25903001945952436,0.24236779751551094,0.08791956801752114,0.0872269995721791,0.08596020242176007,0.08443701806527604,0.014403612226241347,0.01423406261805069,0.014128487179120802,0.013723600917141017,0.001427300826941628,0.0013679062174599785,0.001304561622865384,0.0013833181138383599,9.635789148765507e-05,7.589985214300977e-05,6.534230825002105e-05,6.848114303450999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5561606252078484,0.6128477176565492,0.6690977176565491,0.6634122722818638,1.0,0.948036342144231,0.9246740572672772,0.9091670690767328,0.5081060857998004,0.4974843678376581,0.49340056340067906,0.47673834145666555,0.17164457324926793,0.1717161645350039,0.16695557717318288,0.16177766922446868,0.044354838709677415,0.04010721701938712,0.03761563666064177,0.035492589370943316,0.008522072829855813,0.006785121737342597,0.006077773764369625,0.006578345171735462,0.0015796509455543008,0.0009917486211371937,0.00102342125281616,0.0007263886046420914,4.156967076820751e-05,4.156967076820751e-05,4.156967076820751e-05,4.156967076820751e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.504683262281029,0.5613703547297297,0.6176203547297296,0.6119349093550446,0.948036342144231,1.0,0.9761507601351351,0.9596700511219586,0.5284215490432235,0.5177998310810811,0.513716026644102,0.49705380470008853,0.17556185466021,0.17563344594594596,0.17087285858412493,0.16569495063541073,0.04427111655012179,0.04002349485983149,0.037531914501086144,0.03540886721138769,0.008039738254675377,0.006302787162162163,0.005595439189189189,0.0060960105965550265,0.001097316370373866,0.0009924086800987158,0.0010240813117776823,0.0007270486636036136,4.222972972972973e-05,4.222972972972973e-05,4.222972972972973e-05,4.222972972972973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4808445798485965,0.5375316722972974,0.5937816722972973,0.5880962269226121,0.9246740572672772,0.9761507601351351,1.0,0.9776117003911466,0.5466331199891694,0.536011402027027,0.531927597590048,0.5152653756460346,0.18746008101156134,0.18753167229729728,0.18277108493547628,0.17759317698676208,0.0472694273609326,0.043021805670642295,0.04053022531189695,0.03840717802219849,0.008641511903324026,0.006904560810810811,0.006197212837837838,0.006697784245203675,0.0015698780011303393,0.0009818512476662835,0.0010135238793452497,0.0007164912311711811,3.16722972972973e-05,3.16722972972973e-05,3.16722972972973e-05,3.16722972972973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4654682795144002,0.522155371963101,0.5784053719631009,0.5727199265884158,0.9091670690767328,0.9596700511219586,0.9776117003911466,1.0,0.5687514979212648,0.55811922252669,0.5540459755221434,0.53738375357813,0.19710753240604645,0.1971791236917824,0.19241853632996136,0.1872406283812472,0.049293690568317734,0.04504606887802743,0.042554488519282084,0.04043144122958363,0.008408398884714974,0.0066714477922017595,0.005964099819228786,0.006464671226594623,0.0014659770004134627,0.0010186599058152764,0.0010503325374942429,0.0007532998893201742,6.848095544629038e-05,6.848095544629038e-05,6.848095544629038e-05,6.848095544629038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.22135849684070502,0.25445617742160187,0.2690993362053856,0.2737355418586458,0.5081060857998004,0.5284215490432235,0.5466331199891694,0.5687514979212648,1.0,0.9893353922491664,0.9828726825370461,0.9641775962643531,0.4823045247363994,0.4826367733453024,0.47386681145072407,0.4577285628408143,0.19433821084137015,0.1791636878997202,0.17415941209444352,0.17180902753415755,0.03674787928146872,0.0350109281889555,0.03430358021598253,0.034804151623348364,0.0037829679253162485,0.003194941171852192,0.0032266138035311584,0.0029295811553570893,0.0002494387636459232,0.0002203874121452686,0.00016760147610571092,0.00020640843797393814,4.1576584067852984e-05,0.0,1.0557878288779088e-05,1.3696753869332969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.21253799201075868,0.24383445945945947,0.2584776182432432,0.2631138238965034,0.4974843678376581,0.5177998310810811,0.536011402027027,0.55811922252669,0.9893353922491664,1.0,0.9864106902987657,0.9700447831323817,0.4835782243640699,0.4839104729729729,0.4751405110783946,0.4590022624684848,0.1956119104690407,0.18002691511617008,0.1750226393108934,0.17267225475060743,0.03761110649791862,0.0358741554054054,0.03516680743243243,0.03566737883979827,0.004620975974103312,0.004032949220639256,0.004064621852318222,0.0037675892041441534,0.0002718737464338325,0.0002428223949331779,0.00019003645889362024,0.00022884342076184743,4.1576584067852984e-05,0.0,1.0557878288779088e-05,1.3696753869332969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
