method,pca1_bin,pca2_bin,pca1_A,pca2_A,probability,pmf_kcal_mol,counts
umbrella_only,0,0,-14.465360911687215,-8.788402557373047,0.0,,0
umbrella_only,0,1,-14.465360911687215,-8.205251693725586,0.0,,0
umbrella_only,0,2,-14.465360911687215,-7.622100830078125,0.0,,0
umbrella_only,0,3,-14.465360911687215,-7.038949966430664,0.0,,0
umbrella_only,0,4,-14.465360911687215,-6.455799102783203,0.0,,0
umbrella_only,0,5,-14.465360911687215,-5.872648239135742,0.0,,0
umbrella_only,0,6,-14.465360911687215,-5.289497375488281,0.0,,0
umbrella_only,0,7,-14.465360911687215,-4.70634651184082,0.0,,0
umbrella_only,0,8,-14.465360911687215,-4.123195648193359,0.0,,0
umbrella_only,0,9,-14.465360911687215,-3.5400447845458984,0.0,,0
umbrella_only,0,10,-14.465360911687215,-2.9568939208984375,0.0,,0
umbrella_only,0,11,-14.465360911687215,-2.3737430572509766,0.0,,0
umbrella_only,0,12,-14.465360911687215,-1.7905921936035156,0.0,,0
umbrella_only,0,13,-14.465360911687215,-1.2074413299560547,0.0,,0
umbrella_only,0,14,-14.465360911687215,-0.6242904663085938,0.0,,0
umbrella_only,0,15,-14.465360911687215,-0.04113960266113281,0.0,,0
umbrella_only,0,16,-14.465360911687215,0.5420112609863281,0.0,,0
umbrella_only,0,17,-14.465360911687215,1.125162124633789,0.0,,0
umbrella_only,0,18,-14.465360911687215,1.70831298828125,2.8198506622495867e-09,8.73580412518203,1
umbrella_only,0,19,-14.465360911687215,2.291463851928711,2.295254192949063e-07,6.113094017724968,2
umbrella_only,0,20,-14.465360911687215,2.874614715576172,0.0,,0
umbrella_only,0,21,-14.465360911687215,3.457765579223633,0.0001624611136733824,2.2009763044899056,4
umbrella_only,0,22,-14.465360911687215,4.040916442871094,0.0,,0
umbrella_only,0,23,-14.465360911687215,4.624067306518555,0.0,,0
umbrella_only,0,24,-14.465360911687215,5.207218170166016,8.16610068772577e-06,3.983765097841578,1
umbrella_only,0,25,-14.465360911687215,5.790369033813477,0.0,,0
umbrella_only,0,26,-14.465360911687215,6.3735198974609375,0.0,,0
umbrella_only,0,27,-14.465360911687215,6.956670761108398,0.0,,0
umbrella_only,0,28,-14.465360911687215,7.539821624755859,0.0,,0
umbrella_only,0,29,-14.465360911687215,8.12297248840332,0.0,,0
