method,bin,cv_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
gamd_cumulant2,0,0.037104567109296716,0.025047449013155684,0.5715254868061044,1133,7.928186913935086,76.90285163620845
gamd_cumulant2,1,0.06925855269655586,0.0395552151875715,0.2991241599238461,23245,6.436092277766193,69.37437989737452
gamd_cumulant2,2,0.101412538283815,0.04023926774729715,0.28890250992047495,108700,6.073856916925423,64.85583346958849
gamd_cumulant2,3,0.13356652387107412,0.05808798102427851,0.07004249606391633,177989,6.4533449993879595,66.07440863451346
gamd_cumulant2,4,0.16572050945833325,0.0653297779132967,0.0,198215,6.710006027166722,65.69726162866773
gamd_cumulant2,5,0.1978744950455924,0.06262213884041329,0.02523495734190906,198465,6.5648804653171675,64.4773520790716
gamd_cumulant2,6,0.23002848063285153,0.04880951600736736,0.17379451868268858,191778,6.213243442620005,62.187117333849606
gamd_cumulant2,7,0.26218246622011065,0.04671365866681426,0.19995925933429226,183571,6.0618198283057225,61.626102659855874
gamd_cumulant2,8,0.2943364518073698,0.05321654128914776,0.12225996482305779,177687,6.20207393862118,61.89235547507404
gamd_cumulant2,9,0.3264904373946289,0.051444094969874184,0.14245408812394356,174996,6.130340477350964,61.29617550233945
gamd_cumulant2,10,0.35864442298188803,0.05717351898036932,0.07950234691381741,176950,6.34299525363816,61.031561115353306
gamd_cumulant2,11,0.39079840856914716,0.05233187777125587,0.1322537570269482,177932,6.292731359412528,59.73646994713518
gamd_cumulant2,12,0.42295239415640634,0.04416421807860262,0.2334168337067628,178782,6.127509385217797,58.08231492612037
gamd_cumulant2,13,0.45510637974366547,0.04276467089038066,0.25261477701884294,182251,6.144497491591425,57.38507700479945
gamd_cumulant2,14,0.4872603653309246,0.03822882096658601,0.31945793456633553,187079,6.081147306929285,56.08712804628335
gamd_cumulant2,15,0.5194143509181837,0.03381292638232696,0.39263466866000196,183010,6.020749309945715,55.52689176893715
gamd_cumulant2,16,0.5515683365054429,0.035481098233741154,0.3639253634970223,176656,6.185778220237611,55.93514187863518
gamd_cumulant2,17,0.5837223220927019,0.03924034262502137,0.30388878964584465,170642,6.460831909342389,56.617723912361754
gamd_cumulant2,18,0.6158763076799612,0.032916015712637796,0.4086617656843401,170628,6.235154487921226,55.24894786340107
gamd_cumulant2,19,0.6480302932672202,0.025677349504914612,0.5567184654925004,172676,5.881818496716452,53.30663579590363
gamd_cumulant2,20,0.6801842788544794,0.019311185341729036,0.7265795873379595,178187,5.725088427611822,50.72051078981686
gamd_cumulant2,21,0.7123382644417384,0.01669204270408339,0.8134714994970536,187753,5.7740160481106475,48.735608619258564
gamd_cumulant2,22,0.7444922500289977,0.015485829689400843,0.858187606821496,200024,5.8080023735323065,47.04363448726639
gamd_cumulant2,23,0.7766462356162568,0.013747879268318353,0.9291551311800845,203799,5.8686327849206466,45.90916745007142
gamd_cumulant2,24,0.8088002212035159,0.014627808205075239,0.8921693978814964,200205,6.167097482704818,46.590561466355155
gamd_cumulant2,25,0.8409542067907751,0.009647160573174303,1.140327943048861,184646,5.77145983775188,45.16679232877058
gamd_cumulant2,26,0.8731081923780342,0.007476985985429635,1.2922500245514834,132141,6.336923864401764,45.22684472791014
gamd_cumulant2,27,0.9052621779652934,0.004819640837928086,1.5540425394039905,70163,5.64875982308095,45.505207370744984
gamd_cumulant2,28,0.9374161635525524,0.005309625570306951,1.4963210668125984,14284,6.549458261594205,53.1226412987254
gamd_cumulant2,29,0.9695701491398117,2.5362019501528012e-05,4.682221145524608,349,11.617717537723951,25.10761233621018
