method,bin,cv_A,probability,pmf_kcal_mol,counts
full_ladder,0,0.037104567109296716,0.002465080361176583,1.7809322945931272,1245
full_ladder,1,0.06925855269655586,0.014184968706557418,0.7376748267334383,25775
full_ladder,2,0.101412538283815,0.024092358985574373,0.4218811194604055,120665
full_ladder,3,0.13356652387107412,0.028160886889175396,0.3288565371259553,199715
full_ladder,4,0.16572050945833325,0.029882993020224177,0.2934710877116209,220653
full_ladder,5,0.1978744950455924,0.03319717626858809,0.23076964834453806,220144
full_ladder,6,0.23002848063285153,0.035448872118624415,0.19164560098677152,213560
full_ladder,7,0.26218246622011065,0.03734645681518074,0.16055781352982001,205643
full_ladder,8,0.2943364518073698,0.03952620228515956,0.1267401129971084,199424
full_ladder,9,0.3264904373946289,0.041702243790347586,0.0947911539055597,196716
full_ladder,10,0.35864442298188803,0.0425856270621209,0.08229449980352421,197912
full_ladder,11,0.39079840856914716,0.04479619462763764,0.05212492907377597,198956
full_ladder,12,0.42295239415640634,0.04685225922567263,0.02537157436379167,199815
full_ladder,13,0.45510637974366547,0.04788224496380275,0.012407727343340502,203442
full_ladder,14,0.4872603653309246,0.048889246750198324,0.0,208635
full_ladder,15,0.5194143509181837,0.04637797935970964,0.03143719715476334,204666
full_ladder,16,0.5515683365054429,0.04226710955409981,0.08677022336851836,197096
full_ladder,17,0.5837223220927019,0.03941969240993966,0.12834873627152898,191114
full_ladder,18,0.6158763076799612,0.04062621924323924,0.11037557453998459,191648
full_ladder,19,0.6480302932672202,0.042411246017138714,0.08474069267293194,193184
full_ladder,20,0.6801842788544794,0.042232741475313494,0.08725516904919894,199619
full_ladder,21,0.7123382644417384,0.041818979207445116,0.09312467493851773,210282
full_ladder,22,0.7444922500289977,0.04256886347849372,0.08252922141357333,221236
full_ladder,23,0.7766462356162568,0.03890452476393509,0.13619120038073262,222601
full_ladder,24,0.8088002212035159,0.03463026278276355,0.20557400883778332,219602
full_ladder,25,0.8409542067907751,0.029895031971452875,0.2932309607872736,206650
full_ladder,26,0.8731081923780342,0.019617653201326503,0.5443713375038022,154731
full_ladder,27,0.9052621779652934,0.015471971727520156,0.685899859687312,81793
full_ladder,28,0.9374161635525524,0.0066182393851706,1.192160452234972,16826
full_ladder,29,0.9695701491398117,0.00012667355241124966,3.5505573779879174,780
lambda0_only,0,0.037104567109296716,0.001937979793671797,1.9339865402222445,320
lambda0_only,1,0.06925855269655586,0.013665201219715574,0.7695604831599894,4957
lambda0_only,2,0.101412538283815,0.024471117179397973,0.4222124879638247,14539
lambda0_only,3,0.13356652387107412,0.027750824514572246,0.34723207952991175,19626
lambda0_only,4,0.16572050945833325,0.02908461528804826,0.31924600486333454,20153
lambda0_only,5,0.1978744950455924,0.033265872720620954,0.23916802545629978,21385
lambda0_only,6,0.23002848063285153,0.03607468280770482,0.19084361927065197,21321
lambda0_only,7,0.26218246622011065,0.03800752828636201,0.15972820896532047,20799
lambda0_only,8,0.2943364518073698,0.03923950400378466,0.14071081823018883,20426
lambda0_only,9,0.3264904373946289,0.042194793695465325,0.09742185075104137,21025
lambda0_only,10,0.35864442298188803,0.04196684321229748,0.1006512457241362,19959
lambda0_only,11,0.39079840856914716,0.04423321484282333,0.06929547877245823,20159
lambda0_only,12,0.42295239415640634,0.046977724976128406,0.033408013297476336,20621
lambda0_only,13,0.45510637974366547,0.0483804817198893,0.01586721401012081,20618
lambda0_only,14,0.4872603653309246,0.0496854484370079,0.0,21444
lambda0_only,15,0.5194143509181837,0.04713356519959545,0.031433627621397564,21329
lambda0_only,16,0.5515683365054429,0.04207633048939196,0.09909794617478451,19972
lambda0_only,17,0.5837223220927019,0.03852678336033098,0.15163864726332688,18808
lambda0_only,18,0.6158763076799612,0.04030684842451314,0.12471140190980923,19664
lambda0_only,19,0.6480302932672202,0.04255866463989221,0.09230283604182765,20696
lambda0_only,20,0.6801842788544794,0.043246556781597716,0.08274389691703665,21304
lambda0_only,21,0.7123382644417384,0.04270865715498239,0.09020543648062995,21935
lambda0_only,22,0.7444922500289977,0.04193954859434789,0.10103910639915314,22321
lambda0_only,23,0.7766462356162568,0.03840601212787863,0.15351038976071774,21439
lambda0_only,24,0.8088002212035159,0.03416784262858549,0.22321898273208673,21332
lambda0_only,25,0.8409542067907751,0.029270091678993377,0.31545627751166516,20557
lambda0_only,26,0.8731081923780342,0.01980993056855445,0.5481874322415445,13631
lambda0_only,27,0.9052621779652934,0.016408151741160434,0.6605072496778666,7985
lambda0_only,28,0.9374161635525524,0.006296117974215936,1.2315373604310336,1559
lambda0_only,29,0.9695701491398117,0.00020906593846992168,3.2614896599367578,14
