variant,metric,x,F_kcal_mol,P,count
current,rg,5.052111104040872,2.703672784418184,0.00076738769805548,2497
current,rg,5.24489284834767,0.9875623631031154,0.013651341841095333,73331
current,rg,5.437674592654467,0.42753697690859505,0.03492572040520717,232275
current,rg,5.630456336961265,0.2044414979137421,0.05077700231212673,328741
current,rg,5.823238081268062,0.08069454824859634,0.06249062107177772,383240
current,rg,6.016019825574859,0.04390631439974135,0.0664682911333683,337341
current,rg,6.208801569881657,0.04269409717584627,0.06660358335105265,315439
current,rg,6.401583314188454,0.005663292871213477,0.07087188381371652,319829
current,rg,6.594365058495252,0.0,0.07154834623957436,315132
current,rg,6.78714680280205,0.014561904845870277,0.0698218693969155,303205
current,rg,6.979928547108847,0.006675298694890586,0.07075167822462299,294894
current,rg,7.172710291415645,0.055667102028397863,0.06516988540894825,273840
current,rg,7.3654920357224425,0.14147636997402846,0.05643339817036122,254584
current,rg,7.55827378002924,0.21539599576164625,0.049852491945404434,233294
current,rg,7.751055524336038,0.28708145034464727,0.044204359435690455,212923
current,rg,7.943837268642835,0.37024543360925977,0.0384486766440386,202821
current,rg,8.136619012949634,0.4733617197259987,0.032341692255605764,187454
current,rg,8.32940075725643,0.5804103693157854,0.02702585340641168,174950
current,rg,8.522182501563227,0.6323016670058148,0.02477293085765226,165266
current,rg,8.714964245870025,0.7339261915322084,0.02089033767695597,147837
current,rg,8.907745990176823,0.8009756251603648,0.018668136205415457,126028
current,rg,9.10052773448362,0.9033609554491961,0.015722253520395177,95372
current,rg,9.293309478790418,1.0557098300604129,0.012176737449017401,64013
current,rg,9.486091223097215,1.2997060122305955,0.00808692490770948,37431
current,rg,9.678872967404013,1.657949069326467,0.0044341334229179965,18137
current,rg,9.87165471171081,2.1033497104673327,0.002100589162097993,7153
current,rg,10.064436456017608,2.749312142822901,0.0007108324572225894,2466
current,rg,10.257218200324406,3.4947176840304204,0.0002035872505183894,601
current,rg,10.449999944631202,4.401168473096229,4.450562200697405e-05,94
current,rg,10.642781688938001,4.545280829471716,3.494871411735554e-05,20
