variant,metric,selected_method,checkpoint_index,checkpoint_step,n_samples,n_samples_total,frac_total,JS,RMSE_F_kcal_mol,barrier_error_kcal_mol,delta_JS,delta_RMSE_F_kcal_mol,occupied_bins,occupied_bins_ref,occupied_bins_frac_ref,new_bins_discovered,mbar_converged,mbar_iterations,mbar_max_delta,mbar_backend,mbar_requested_backend,sambar_warmstart_epochs,sambar_polish_backend,mbar_cache_hit
current,rg,umbrella_only,1,1010500,224,5110208,4.383383220409032e-05,0.2381311912288543,2.733804512125024,5.570276075066738,nan,nan,22,30,0.7333333333333333,22,1,29,8.606451284975947e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,2,1944250,1493328,5110208,0.2922245043645973,0.00102949862420229,0.17332849755772425,0.0880872983305041,0.2425836718479793,2.7228393386518874,29,30,0.9666666666666667,7,1,44,9.165796228671752e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,3,2878000,2697216,5110208,0.5278094355454808,0.0005248109344366922,0.18099070530995978,0.167959846099059,0.000676755214557407,0.0891368891289315,29,30,0.9666666666666667,0,1,29,9.964966835411537e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,4,3811750,3512432,5110208,0.6873364058762383,0.00011521935773162038,0.049687416596904364,0.09995749060613424,0.00022222314616469256,0.14436501092978213,30,30,1.0,1,1,38,3.5241990836709647e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,5,4745500,4081600,5110208,0.7987150425188172,7.24004526877958e-05,0.034735934502352135,0.028883956330928662,4.761272402825078e-05,0.025281722137181755,30,30,1.0,0,1,26,7.77265128371063e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,6,5679500,4467584,5110208,0.874246997382494,0.00010097426924575415,0.04333405157117444,0.012441518756570957,1.6419711997485695e-05,0.01996979710745632,30,30,1.0,0,1,21,9.575498349789768e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,7,6613250,4668368,5110208,0.9135377659774319,0.0001530310196804091,0.026759164385280317,0.008520926968731857,2.2613363250921105e-05,0.03232328548688369,30,30,1.0,0,1,22,7.768617802383915e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,8,7547000,4847648,5110208,0.948620486680777,0.00010999755865525808,0.022577371846211895,0.005036865199296692,1.3208773037941608e-05,0.00817362942180955,30,30,1.0,0,1,22,8.081180702390611e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,9,8480750,4990688,5110208,0.9766115195311033,2.0564061947071775e-05,0.0106744533790498,0.0011620329626600423,3.658922239066771e-05,0.012487280221873441,30,30,1.0,0,1,29,4.974191993856181e-07,numba-anderson,sambar,10,numba-anderson,0
current,rg,umbrella_only,10,9414500,5110208,5110208,1.0,1.1733022422726066e-07,0.0010964115361296292,0.0017807264809874823,2.2594551505250875e-05,0.01126477262633339,30,30,1.0,0,1,22,8.22249616894144e-07,numba-anderson,sambar,10,numba-anderson,0
