method,bin,rg_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
gamd_cumulant3,0,5.052111104040872,0.0004860006911867474,3.020095554762263,2497,5.605816835773381,51.26272184571713
gamd_cumulant3,1,5.24489284834767,0.0013216162173549462,2.4236954385093457,73331,5.210760489981791,43.3760646695372
gamd_cumulant3,2,5.437674592654467,0.003195360854691983,1.8973776557900004,232275,6.206070864237291,46.656445792668976
gamd_cumulant3,3,5.630456336961265,0.0034659190817709225,1.8489229669476333,328741,5.710524028540212,43.89213456194807
gamd_cumulant3,4,5.823238081268062,0.005005431480799486,1.6298064085870452,383240,5.462438040682416,43.62843254902528
gamd_cumulant3,5,6.016019825574859,0.008654947372767632,1.303344028295862,337341,5.210851902934213,45.511495180128705
gamd_cumulant3,6,6.208801569881657,0.020466720729008715,0.7902464500309871,315439,5.494925829746286,49.910528936151586
gamd_cumulant3,7,6.401583314188454,0.03057857990691437,0.5508879517364613,319829,5.647267567234018,52.2161963223762
gamd_cumulant3,8,6.594365058495252,0.03910708527461608,0.40422995310858534,315132,5.77332770189539,54.04179778695084
gamd_cumulant3,9,6.78714680280205,0.04223184153752435,0.35840254942313976,303205,5.645085735561323,53.96302983874679
gamd_cumulant3,10,6.979928547108847,0.05420149594298527,0.20964002140920668,294894,5.445315394869274,54.09446816253003
gamd_cumulant3,11,7.172710291415645,0.06268508999710881,0.1229491625879009,273840,5.654202669399345,56.21887900558357
gamd_cumulant3,12,7.3654920357224425,0.06069622465869849,0.14217066655590194,254584,5.995579078792263,58.400605555172085
gamd_cumulant3,13,7.55827378002924,0.06974822425709401,0.059298011756537594,233294,5.7623800419609355,58.25640597361769
gamd_cumulant3,14,7.751055524336038,0.07704258757974289,0.0,212923,5.386561117120863,57.20024415761735
gamd_cumulant3,15,7.943837268642835,0.06970860924961102,0.05963671059996156,202821,5.472966445704149,58.011918703365346
gamd_cumulant3,16,8.136619012949634,0.0672795038093367,0.0807814709654151,187454,5.583050362094405,58.98928306934137
gamd_cumulant3,17,8.32940075725643,0.06617489498897679,0.09065061054499557,174950,5.776022073555431,60.45116958233842
gamd_cumulant3,18,8.522182501563227,0.06351606289786828,0.11509818794336857,165266,5.834935321445954,61.151465209478054
gamd_cumulant3,19,8.714964245870025,0.05722739148501822,0.17725406829707646,147837,6.104666896742407,62.75527035214082
gamd_cumulant3,20,8.907745990176823,0.05458861852696025,0.20539720082772628,126028,5.831693406828289,61.82821523747914
gamd_cumulant3,21,9.10052773448362,0.0467380511917743,0.2979612401067637,95372,5.762548723946344,61.70798604370319
gamd_cumulant3,22,9.293309478790418,0.05167153967234162,0.23813734629280336,64013,5.951138595159983,63.96261245820222
gamd_cumulant3,23,9.486091223097215,0.03165356037374354,0.5302900588338464,37431,6.533027058921691,66.65352712618935
gamd_cumulant3,24,9.678872967404013,0.009878071209488238,1.2245397565184477,18137,7.671628338389645,70.65574530621518
gamd_cumulant3,25,9.87165471171081,0.0025399493213725047,2.034229992267596,7153,8.167627757394152,70.54856103008139
gamd_cumulant3,26,10.064436456017608,8.60873364372983e-05,4.051959945925718,2466,10.58100921016011,65.52243788846613
gamd_cumulant3,27,10.257218200324406,4.877897693427784e-05,4.390617050976761,601,9.846424354589493,69.92414514611097
gamd_cumulant3,28,10.449999944631202,1.7501484351402882e-06,6.3744026118966035,94,16.605861390558864,10.53736713699274
gamd_cumulant3,29,10.642781688938001,5.229437053643126e-09,9.83997888352493,20,0.5716434472953947,7.469405987122964
