method,bin,rg_A,probability,pmf_kcal_mol,counts
umbrella_only,0,5.052111104040872,0.0007673876980554799,2.703672784418184,2497
umbrella_only,1,5.24489284834767,0.013651341841095331,0.9875623631031154,73331
umbrella_only,2,5.437674592654467,0.03492572040520716,0.42753697690859505,232275
umbrella_only,3,5.630456336961265,0.05077700231212672,0.2044414979137421,328741
umbrella_only,4,5.823238081268062,0.06249062107177771,0.08069454824859634,383240
umbrella_only,5,6.016019825574859,0.06646829113336829,0.04390631439974135,337341
umbrella_only,6,6.208801569881657,0.06660358335105264,0.04269409717584627,315439
umbrella_only,7,6.401583314188454,0.07087188381371651,0.005663292871213477,319829
umbrella_only,8,6.594365058495252,0.07154834623957435,0.0,315132
umbrella_only,9,6.78714680280205,0.06982186939691548,0.014561904845870277,303205
umbrella_only,10,6.979928547108847,0.07075167822462297,0.006675298694890586,294894
umbrella_only,11,7.172710291415645,0.06516988540894823,0.055667102028397863,273840
umbrella_only,12,7.3654920357224425,0.056433398170361214,0.14147636997402846,254584
umbrella_only,13,7.55827378002924,0.04985249194540443,0.21539599576164625,233294
umbrella_only,14,7.751055524336038,0.04420435943569045,0.28708145034464727,212923
umbrella_only,15,7.943837268642835,0.038448676644038594,0.37024543360925977,202821
umbrella_only,16,8.136619012949634,0.03234169225560576,0.4733617197259987,187454
umbrella_only,17,8.32940075725643,0.027025853406411678,0.5804103693157854,174950
umbrella_only,18,8.522182501563227,0.024772930857652257,0.6323016670058148,165266
umbrella_only,19,8.714964245870025,0.020890337676955965,0.7339261915322084,147837
umbrella_only,20,8.907745990176823,0.018668136205415454,0.8009756251603648,126028
umbrella_only,21,9.10052773448362,0.015722253520395173,0.9033609554491961,95372
umbrella_only,22,9.293309478790418,0.0121767374490174,1.0557098300604129,64013
umbrella_only,23,9.486091223097215,0.008086924907709478,1.2997060122305955,37431
umbrella_only,24,9.678872967404013,0.004434133422917996,1.657949069326467,18137
umbrella_only,25,9.87165471171081,0.0021005891620979925,2.1033497104673327,7153
umbrella_only,26,10.064436456017608,0.0007108324572225893,2.749312142822901,2466
umbrella_only,27,10.257218200324406,0.00020358725051838937,3.4947176840304204,601
umbrella_only,28,10.449999944631202,4.4505622006974046e-05,4.401168473096229,94
umbrella_only,29,10.642781688938001,3.494871411735553e-05,4.545280829471716,20
