window,center_A,k_kcal_mol_A2,secondary_center_window_table,secondary_k_kcal_mol_window_table,samples,cv_mean_A,cv_std_A,cv2_mean,cv2_std,self_bias_median_kT,self_bias_p90_kT,overlap_left,overlap_right,cv_space_neighbor,cv_space_overlap_marginal,cv_space_overlap_joint
0,0.105871,361.8424,,,24056,0.11890673315205798,0.0332148554653529,,,0.1549970187702774,1.0392089211849036,,0.9138461481206015,1,0.913846,
1,0.105871,361.8424,,,94720,0.12562849566411632,0.03386940913236673,,,4.473720294382941,6.929109384865643,0.9138461481206015,0.9090688344594593,0,0.913846,
2,0.105871,361.8424,,,94720,0.1330310756433047,0.03191667157234434,,,4.8201362264533065,8.360174986679395,0.9090688344594593,0.9789353523817119,0,0.822915,
3,0.105871,361.8424,,,73013,0.13355617645430515,0.031601818473859365,,,4.6250368593293265,8.325433934300344,0.9789353523817119,0.6634122722818638,0,0.818175,
4,0.157446,405.5396,,,24056,0.1624039780665381,0.038015769970827624,,,0.2447359406138167,1.335015456049529,0.6634122722818638,0.948036342144231,5,0.948036,
5,0.157446,405.5396,,,94720,0.16621923176064377,0.0360416473878143,,,4.250516127731531,6.770752300258212,0.948036342144231,0.9761507601351351,4,0.948036,
6,0.157446,405.5396,,,94720,0.16869651161164134,0.03560976865517939,,,4.652409585161097,8.071740601938407,0.9761507601351351,0.9776117003911466,4,0.924674,
7,0.157446,405.5396,,,73013,0.17062170878493543,0.03533058225798476,,,4.4698753142842165,8.07485075140579,0.9776117003911466,0.5687514979212648,4,0.909167,
8,0.209021,463.6135,,,24056,0.21183974197488073,0.035438301046030185,,,0.22349579442907447,1.3539138071724468,0.5687514979212648,0.9893353922491664,9,0.989335,
9,0.209021,463.6135,,,94720,0.21268482168017874,0.034772104126723984,,,4.171756816293024,6.677820095101201,0.9893353922491664,0.9864106902987657,8,0.989335,
10,0.209021,463.6135,,,94719,0.21380112112011462,0.035125170668997154,,,4.629802611326402,8.078250201671356,0.9864106902987657,0.9810571312440987,8,0.982873,
11,0.209021,463.6135,,,73013,0.21542751247409797,0.03453300254128606,,,4.394362738256129,7.946942894317302,0.9810571312440987,0.5033126252295119,8,0.964178,
12,0.260596,475.5454,,,24055,0.26267972265768386,0.03517484233120472,,,0.22041899907011686,1.3326249860566755,0.5033126252295119,0.9963786075652923,13,0.996379,
13,0.260596,475.5454,,,94720,0.2629461028604498,0.03540724958006088,,,4.152574557594804,6.687842556946701,0.9963786075652923,0.9899986663521518,12,0.996379,
